SENARYO,VERSION,TRETE,KUR,ACENTE_NO,BRANS_KODU,SEGMENT,TARIFE,YIL,TARIH,HEDEF,DATA_KAYNAK,KAYNAK_KODU,SUBE_KOD,LOB,ACENTE_ADI,TRAFIK_HAVUZ,YENI_YENILEME
,,,,8483,565,MIDDLE MARKET,M04,2024,30.04.2024,"9582,48",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,998,SMALL BUSINESS,Y70,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,501,SMALL BUSINESS,Y70,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,572,MIDDLE MARKET,M04,2024,30.04.2024,"2794,89",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,524,SMALL BUSINESS,Y70,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,538,MIDDLE MARKET,F17,2024,30.04.2024,"2794,89",Acente-Bireysel,9,1,Professional Indemnity,,,Yeni
,,,,8483,521,MIDDLE MARKET,D42,2024,30.04.2024,"399,27",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,526,SMALL BUSINESS,Z02,2024,30.04.2024,"399,27",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,501,MIDDLE MARKET,Y62,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,571,SMALL BUSINESS,Y70,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,990,PERSONAL LINES,DSK,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,568,SMALL BUSINESS,Y70,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,501,MIDDLE MARKET,Y15,2024,30.04.2024,"199,63",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,501,PERSONAL LINES,Y58,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,571,MIDDLE MARKET,M02,2024,30.04.2024,"399,27",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,510,MIDDLE MARKET,N21,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,510,SMALL BUSINESS,N21,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,565,SMALL BUSINESS,Y70,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,570,MIDDLE MARKET,M01,2024,30.04.2024,"399,27",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
